-3.012500e+01 -3.012500e+01 3.007279e-02 
-3.012500e+01 -2.987500e+01 3.024912e-02 
-3.012500e+01 -2.962500e+01 3.042614e-02 
-3.012500e+01 -2.937500e+01 3.060384e-02 
-3.012500e+01 -2.912500e+01 3.078221e-02 
-3.012500e+01 -2.887500e+01 3.096122e-02 
-3.012500e+01 -2.862500e+01 3.114087e-02 
-3.012500e+01 -2.837500e+01 3.135687e-02 
-3.012500e+01 -2.812500e+01 3.154373e-02 
-3.012500e+01 -2.787500e+01 3.172911e-02 
-3.012500e+01 -2.762500e+01 3.191417e-02 
-3.012500e+01 -2.737500e+01 3.209929e-02 
-3.012500e+01 -2.712500e+01 3.228463e-02 
-3.012500e+01 -2.687500e+01 3.247027e-02 
-3.012500e+01 -2.662500e+01 3.265625e-02 
-3.012500e+01 -2.637500e+01 3.284261e-02 
-3.012500e+01 -2.612500e+01 3.306396e-02 
-3.012500e+01 -2.587500e+01 3.325927e-02 
-3.012500e+01 -2.562500e+01 3.345141e-02 
-3.012500e+01 -2.537500e+01 3.364269e-02 
-3.012500e+01 -2.512500e+01 3.383368e-02 
-3.012500e+01 -2.487500e+01 3.402463e-02 
-3.012500e+01 -2.462500e+01 3.421564e-02 
-3.012500e+01 -2.437500e+01 3.443768e-02 
-3.012500e+01 -2.412500e+01 3.464054e-02 
-3.012500e+01 -2.387500e+01 3.470875e-02 
-3.012500e+01 -2.362500e+01 3.503277e-02 
-3.012500e+01 -2.337500e+01 3.522757e-02 
-3.012500e+01 -2.312500e+01 3.542207e-02 
-3.012500e+01 -2.287500e+01 3.561643e-02 
-3.012500e+01 -2.262500e+01 3.585059e-02 
-3.012500e+01 -2.237500e+01 3.605162e-02 
-3.012500e+01 -2.212500e+01 3.625015e-02 
-3.012500e+01 -2.187500e+01 3.644763e-02 
-3.012500e+01 -2.162500e+01 3.664454e-02 
-3.012500e+01 -2.137500e+01 3.684106e-02 
-3.012500e+01 -2.112500e+01 3.707733e-02 
-3.012500e+01 -2.087500e+01 3.728021e-02 
-3.012500e+01 -2.062500e+01 3.748032e-02 
-3.012500e+01 -2.037500e+01 3.767919e-02 
-3.012500e+01 -2.012500e+01 3.787728e-02 
-3.012500e+01 -1.987500e+01 3.807480e-02 
-3.012500e+01 -1.962500e+01 3.831259e-02 
-3.012500e+01 -1.937500e+01 3.851568e-02 
-3.012500e+01 -1.912500e+01 3.871605e-02 
-3.012500e+01 -1.887500e+01 3.891504e-02 
-3.012500e+01 -1.862500e+01 3.911308e-02 
-3.012500e+01 -1.837500e+01 3.931037e-02 
-3.012500e+01 -1.812500e+01 3.954606e-02 
-3.012500e+01 -1.787500e+01 3.974890e-02 
-3.012500e+01 -1.762500e+01 3.994849e-02 
-3.012500e+01 -1.737500e+01 4.014641e-02 
-3.012500e+01 -1.712500e+01 4.034313e-02 
-3.012500e+01 -1.687500e+01 4.053886e-02 
-3.012500e+01 -1.662500e+01 4.073370e-02 
-3.012500e+01 -1.637500e+01 4.096674e-02 
-3.012500e+01 -1.612500e+01 4.116574e-02 
-3.012500e+01 -1.587500e+01 4.136175e-02 
-3.012500e+01 -1.562500e+01 4.155596e-02 
-3.012500e+01 -1.537500e+01 4.174876e-02 
-3.012500e+01 -1.512500e+01 4.194030e-02 
-3.012500e+01 -1.487500e+01 4.213066e-02 
-3.012500e+01 -1.462500e+01 4.231987e-02 
-3.012500e+01 -1.437500e+01 4.250794e-02 
-3.012500e+01 -1.412500e+01 4.272391e-02 
-3.012500e+01 -1.387500e+01 4.291738e-02 
-3.012500e+01 -1.362500e+01 4.310553e-02 
-3.012500e+01 -1.337500e+01 4.329108e-02 
-3.012500e+01 -1.312500e+01 4.347460e-02 
-3.012500e+01 -1.287500e+01 4.365626e-02 
-3.012500e+01 -1.262500e+01 4.383613e-02 
-3.012500e+01 -1.237500e+01 4.401418e-02 
-3.012500e+01 -1.212500e+01 4.419036e-02 
-3.012500e+01 -1.187500e+01 4.436456e-02 
-3.012500e+01 -1.162500e+01 4.453664e-02 
-3.012500e+01 -1.137500e+01 4.470632e-02 
-3.012500e+01 -1.112500e+01 4.487310e-02 
-3.012500e+01 -1.087500e+01 4.503547e-02 
-3.012500e+01 -1.062500e+01 4.516703e-02 
-3.012500e+01 -1.037500e+01 4.533052e-02 
-3.012500e+01 -1.012500e+01 4.549167e-02 
-3.012500e+01 -9.875000e+00 4.565025e-02 
-3.012500e+01 -9.625000e+00 4.580594e-02 
-3.012500e+01 -9.375000e+00 4.595814e-02 
-3.012500e+01 -9.125000e+00 4.610542e-02 
-3.012500e+01 -8.875000e+00 4.621349e-02 
-3.012500e+01 -8.625000e+00 4.636064e-02 
-3.012500e+01 -8.375000e+00 4.650402e-02 
-3.012500e+01 -8.125000e+00 4.664246e-02 
-3.012500e+01 -7.875000e+00 4.677037e-02 
-3.012500e+01 -7.625000e+00 4.687217e-02 
-3.012500e+01 -7.375000e+00 4.700382e-02 
-3.012500e+01 -7.125000e+00 4.712730e-02 
-3.012500e+01 -6.875000e+00 4.721366e-02 
-3.012500e+01 -6.625000e+00 4.733625e-02 
-3.012500e+01 -6.375000e+00 4.744736e-02 
-3.012500e+01 -6.125000e+00 4.752756e-02 
-3.012500e+01 -5.875000e+00 4.763777e-02 
-3.012500e+01 -5.625000e+00 4.770471e-02 
-3.012500e+01 -5.375000e+00 4.781010e-02 
-3.012500e+01 -5.125000e+00 4.786841e-02 
-3.012500e+01 -4.875000e+00 4.796727e-02 
-3.012500e+01 -4.625000e+00 4.801861e-02 
