2023 12 13 17 30  0    18000
   0,CM01,    4080,  78.09,  24.69,  78.09,  24.69,   0.00,   0.00
   0,CM01,    4140,  78.30,  24.73,  78.30,  24.73,   0.00,   0.00
   0,CM01,    4200,  78.50,  24.78,  78.50,  24.78,   0.00,   0.00
   0,CM01,    4260,  78.70,  24.83,  78.70,  24.83,   0.00,   0.00
   0,CM01,    4320,  78.90,  24.87,  78.90,  24.87,   0.00,   0.00
   0,CM01,    4380,  79.10,  24.91,  79.10,  24.91,   0.00,   0.00
   0,CM01,    4440,  79.31,  24.96,  79.31,  24.96,   0.00,   0.00
   0,CM01,    4500,  79.51,  25.00,  79.51,  25.00,   0.00,   0.00
   0,CM01,    4560,  79.71,  25.04,  79.71,  25.04,   0.00,   0.00
   0,CM01,    4620,  79.92,  25.08,  79.92,  25.08,   0.00,   0.00
   0,CM01,    4680,  80.12,  25.12,  80.12,  25.12,   0.00,   0.00
   0,CM01,    4740,  80.33,  25.16,  80.33,  25.16,   0.00,   0.00
   0,CM01,    4800,  80.53,  25.20,  80.53,  25.20,   0.00,   0.00
   0,CM01,    4860,  80.74,  25.24,  80.74,  25.24,   0.00,   0.00
   0,CM01,    4920,  80.94,  25.27,  80.94,  25.27,   0.00,   0.00
   0,CM01,    4980,  81.15,  25.31,  81.15,  25.31,   0.00,   0.00
   0,CM01,    5040,  81.35,  25.35,  81.35,  25.35,   0.00,   0.00
   0,CM01,    5100,  81.56,  25.38,  81.56,  25.38,   0.00,   0.00
   0,CM01,    5160,  81.76,  25.41,  81.76,  25.41,   0.00,   0.00
   0,CM01,    5220,  81.97,  25.45,  81.97,  25.45,   0.00,   0.00
   0,CM01,    5280,  82.18,  25.48,  82.18,  25.48,   0.00,   0.00
   0,CM01,    5340,  82.38,  25.51,  82.38,  25.51,   0.00,   0.00
   0,CM01,    5400,  82.59,  25.54,  82.59,  25.54,   0.00,   0.00
   0,CM01,    5460,  82.80,  25.57,  82.80,  25.57,   0.00,   0.00
   0,CM01,    5520,  83.00,  25.60,  83.00,  25.60,   0.00,   0.00
   0,CM01,    5580,  83.21,  25.62,  83.21,  25.62,   0.00,   0.00
   0,CM01,    5640,  83.42,  25.65,  83.42,  25.65,   0.00,   0.00
   0,CM01,    5700,  83.63,  25.68,  83.63,  25.68,   0.00,   0.00
